subject,subject_en,type
Häufige Abstürze von Adobe Photoshop 2024 auf macOS,Common interruptions of Adobe Photoshop 2024 on macOS,Incident
Demande d'assistance : Problème de configuration sans fil pour l'imprimante HP,Help request: Wireless configuration problem for HP printer,Incident
Anfrage nach zusätzlichen IT-Beratungstunden,Request for additional IT advice hours,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Problème urgent de routeur Cisco,Cisco router emergency problem,Incident
Problemas com a Impressora Epson EcoTank ET-4760,Problems with Printer Epson EcoTunk ET-4760,Problem
Probleme mit der Bereitstellung des AWS Managementdienstes,Problems with the provision of the AWS Management Service,Problem
Solicitação para Atualizar Informações de Faturamento para Conformidade,Request for Update Billing Information for Conformity,Change
Informe de Problema con la Cámara en Samsung Galaxy S21 Ultra,Problem report with Camera in Samsung Galaxy S21 Ultra,Incident
Fallos frecuentes en macOS con Adobe Photoshop 2024,Common errors in macOS with Adobe Photoshop 2024,Problem
Urgent : Erreur 403 sur l'accès à la console de gestion AWS,Emergency: Error 403 on access to AWS management console,Problem
Smart TV Bildschirmflackern,Smart TV screen locker,Incident
Dringende Rücksendeanfrage: Defekter MacBook Air,Urgent return request: Defeater MacBook Air,Request
Hohe Priorität: Systemabsturz beim Zugriff auf Scrum-Boards,High Priority: System Breakdown when accessing Scrum boards,Incident
Problème urgent de routeur Cisco ISR4331,Cisco ISR4331 driver's emergency problem,Incident
Soutien urgent nécessaire pour un bug Jira,Emergency support needed for a Jira bug,Incident
Anfrage zur Optimierung von AWS-Diensten,Request for optimization of AWS services,Change
Persistente Abstürze bei der Verwendung von Adobe Photoshop 2024,Constant disturbances in the use of Adobe Photoshop 2024,Incident
Assistance Urgente Requise : Optimisation AWS,Emergency assistance Requirements : Optimization AWS,Request
Assistance requise pour la configuration sans fil,Need assistance for wireless configuration,Request
Problèmes de connectivité avec le point d'accès TP-Link,Connectivity problems with TP-Link access point,Problem
Dringende Anfrage: Probleme mit der Serveradministration,Urgent Question: Problems With Server Administration,Request
Bouchons de papier fréquents,Common Paper Sheets,Incident
Solicitud de Devolución: Problema de Fugas en el Tanque de Tinta,Return Request: The Problem of Refugees in the Tinta Tank,Problem
Asistencia para la configuración de impresión inalámbrica,Non-remarkable Print Setup Wizard,Request
Problem mit flackerndem Display,Flexible Display Problem,Problem
Hochpriorisiertes AWS-Cloud-Bereitstellungsproblem,High priority AWS cloud delivery problem,Problem
Problème urgent de temps d'arrêt du serveur,Server timeout problem,Problem
Urgente: Problema de tiempo de inactividad de la base de datos MySQL 8.0.30,Urgent: Time of inactivity of the MySQL database 8.0.30,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Dringende Anfrage: Sofortige IT-Beratung erforderlich,Urgent request: urgent IT advice required,Request
Urgente: Interrupção do Serviço de Nuvem Requer Atenção Imediata,Emergency: Breakdown of the Nuvem Service Requires immediate attention,Incident
Solicitação de Assistência Imediata com Compra Recente,Request for immediate assistance with recent purchase,Problem
Demande d'aide pour la configuration AWS et l'optimisation des coûts,Application for aid for AWS configuration and cost optimization,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Problemas Frequentes com o Roteador Cisco ISR4331,Common problems with the Cisco router ISR4331,Problem
Norton-Problem,Norton Problem,Request
Verbesserungsanfrage: Benutzeroberfläche des HR-Managementsystems,Improved demand: User area of HR management system,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Problèmes de connectivité avec l'imprimante HP DeskJet 3755,Connectivity Problems with HP DeskJet 3755 printer,Problem
Zahlungssystemfehler,Payment system error,Incident
Solicitação de Atualização de Serviço da AWS,AWS Service Update Request,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Asistencia Urgente Requerida para Problemas de Conectividad con el Router Cisco ISR4331,Emergency assistance Necessary for Connectivity Problems with Route Cisco ISR4331,Incident
Anfrage bezüglich der Garantieunterstützung für das im Online-Shop erworbene MacBook Air M1,Request for guarantee support for the MacBook Air M1 purchased in the online shop,Problem
Surface Pro 7 Akku- und Überhitzungsprobleme,Surface Pro 7 Acquisition and Overheating Problems,Incident
Se necesita soporte para la infraestructura de AWS,Support for AWS infrastructure is required,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
Sofortige Hilfe benötigt: Tonprobleme bei Videokonferenzen,Emergency help is needed: audio problems at video conferences,Incident
Problemas de conectividad con la infraestructura del servidor,Connectivity Problems With Server Infrastructure,Problem
Solicitação Urgente de Substituição,Urgent Request for Replacement,Incident
Demande d'échange de Canon PIXMA MG3620,Canon PIXMA MG3620 exchange request,Incident
Wiederkehrendes Problem mit Netzwerkunterbrechungen,Reversible problem with network interruptions,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
Demande d'assistance pour la configuration du service AWS et l'optimisation des coûts,Request for assistance for the configuration of the AWS service and cost optimisation,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Dringendes Problem mit dem Jira-Update,Urgent problem with the Jira update,Problem
Problema Urgente: Recurso de Auto-Scaling da AWS,Emergency Problem: AWS Auto-Scaling Resource,Problem
Problemas Intermitentes de Conectividade,Intermediate problems of connectivity,Incident
Solicitud de Soporte de Alta Prioridad,High Priority Support Request,Request
Instabilität der Wi-Fi-Verbindung mit TP-Link EAP245 bei Überlastung,Stability of Wi-Fi connection with TP link EAP245 when overloaded,Incident
Demande de remplacement de clavier défectueux,Failed keyboard replacement request,Change
Interrupción de red debido a fallo en el router Cisco ISR4331,Network interruption due to failure on the Cisco ISR4331 router,Incident
Problema de Doble Cobro,Double Cobro Problem,Incident
Problem mit dem MacBook Air Display,Problem mit dem MacBook Air Display,Incident
Usuário enfrentando problema com mensagens do Slack,User struggling with Slack messages,Problem
Dringend: Beschädigtes Lenovo IdeaPad 5 aus Online-Shop-Bestellung #<order_num> erhalten,Urgent: Get corrupted Lenovo IdeaPad 5 from Online Shop Order #<order_num>,Incident
Hilfe benötigt für MacBook Air M1 Tastatur,Help is needed for MacBook Air M1 keyboard,Request
Problema de Tela Piscando,Tela Piscando Problem,Incident
Pedido Urgente do Cliente: Atualização do Jira Software 8.20,Client Emergency Request: Jira Software Update 8.20,Change
Assistance requise pour la configuration sans fil de l'imprimante HP DeskJet 3755,Support required for wireless configuration of HP DeskJet 3755 printer,Request
Erro de Cobrança na Compra Recente,Cobra Error in Recent Purchase,Problem
Experimentando problemas de calidad de video en las reuniones del cliente de Zoom,Experimenting video quality problems at Zoom client meetings,Problem
Urgent : Erreur inattendue dans le déploiement du service de gestion AWS,Emergency: Unexpected error in the deployment of the AWS management service,Problem
Asistencia necesaria para el problema de actualización de macOS,Necessary assistance to the macOS update problem,Request
Solicitação de Consulta com Especialista,Request for consultation with Specialist,Request
Anfrage nach sofortiger Unterstützung bei einem kürzlichen Kauf,Request for immediate support for a short purchase,Problem
Urgent : Problèmes de connectivité avec le routeur Cisco ISR4331,Emergency: Problems of connectivity with Cisco ISR4331,Incident
Solicitação de Assistência com Problema de Tela Touch do Dell XPS 13,Request for assistance with Dell XPS Screen Touch Problem 13,Problem
[NO_SUBJECT],[NO_SUBJECT],Incident
Solicitud de Soporte Urgente: Problema con Dell XPS 13 9310,Emergency Support Request: Problem with Dell XPS 13 9310,Incident
Error en la Finalización de Código de IntelliJ IDEA,Error in Ending IntelliJ IDEA Code,Incident
Konnektivitätsprobleme während Zoom-Meetings,Connectivity problems during Zoom Meetings,Incident
Problema de Desconexões Frequentes na Rede,Problem of Frequent Network Connections,Incident
Asistencia requerida para Adobe Photoshop,Need assistance for Adobe Photoshop,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
Asistencia para la Solicitud de Migración,Assistance for the Request for Migration,Change
Dringendes Problem mit der Serveradministration,Emergency problem with server administration,Incident
Urgent : Temps d'arrêt du réseau dû à une configuration AWS,Emergency: Network shutdown time due to AWS configuration,Incident
Atualização da Arquitetura do Servidor,Server Architecture Update,Change
AWS-Abrechnungsunterstützung benötigt,AWS decoupling support is required,Incident
Resolución de interrupciones de servicio solicitada para problemas en curso,Resolution of service interruptions requested for current problems,Change
Demande d'assistance concernant des problèmes d'intégration de Slack,Request for help with Slack integration issues,Request
Problema de Conexión Urgente,Emergency connection problem,Incident
Problema con la impresora HP DeskJet 3755,Problem with HP DeskJet 3755 printer,Problem
Explicación necesaria sobre la optimización de servidores con servicios de TI,Necessary explanation of optimization of IT services services,Problem
Probleme mit Cisco Router ISR4331,Probleme mit Cisco Router ISR4331,Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Urgente: Problema de reinicio del router,Emergency: The problem of starting the router,Problem
Consulta Sobre Soluções em Nuvem e Serviços de Desenvolvimento de Software,Consult About Solutions in Nuvem and Software Development Services,Request
Problema de Flicker na Tela,Flicker problem on TV,Problem
Urgente: Problemas de Control de Acceso en Jira Software,Emergency: Jira Software Access Control Problems,Incident
Demande de facturation,Billing request,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Rücksendungsanfrage für den Kauf eines MacBook Air M1,Return request for purchase of a MacBook Air M1,Request
Asistencia Urgente Necesaria: Problema de Acceso a Jira Después de la Actualización,Emergency Assistance Necessary: Jira Access Problem After Update,Incident
Demande d'assistance pour l'administration des serveurs,Request for assistance for server administration,Request
Problemas de Sensibilidade da Tela Sensível ao Toque no Surface Pro 7,Hypersensitivity problems of the touch screen on surface Pro 7,Problem
Dringende Lösung erforderlich: Zoom 5.11.0 Abstürze,Urgent solution required: Zoom 5.11.0 Dispersion,Incident
Verbindungsprobleme mit dem HP DeskJet 3755 Drucker,Connection problems with HP DeskJet 3755 Printer,Incident
Consulta sobre los detalles del MacBook Air M1,See details of MacBook Air M1,Request
Intermittierendes Einfrierproblem mit Dell XPS 13,Intermittent freezing problem with Dell XPS 13,Problem
Microsoft Office 365 Einrichtungsanleitung benötigt,Microsoft Office 365 installation instructions are required,Request
Problema Urgente: Acesso ao Email no Office 365,Emergency Problem: Access to Email at Office 365,Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Kaufanfrage,Purchase request,Request
Problema de conectividad de Oracle Database 19c,Oracle Connectivity Problem Database 19c,Problem
[NO_SUBJECT],[NO_SUBJECT],Request
[NO_SUBJECT],[NO_SUBJECT],Problem
Consulta sobre disponibilidad y opciones de entrega para la impresora,Consult availability and delivery options for the printer,Request
Anfrage für technische Unterstützung mit Dell XPS 13 9310,Request for technical support with Dell XPS 13 9310,Request
Asistencia Necesaria para la Configuración Inalámbrica de la Impresora,Necessary Assistance for Printer In-room Settings,Request
Problème de sauvegarde des feuilles Excel dans Office 365,Protection of Excel sheets in Office 365,Incident
Interrupciones frecuentes del servicio con Zoom,Common service interrupts with Zoom,Incident
Asistencia Requerida para la Optimización de MySQL,MySQL Optimization Support Required,Request
Problèmes de connexion au logiciel Jira,Jira Software Connection Problems,Problem
Necesito asistencia para implementar un nuevo microservicio,Need assistance to implement a new microservice,Request
AWS Rechnungsabweichung,AWS Accountancy,Request
Demande d'assistance immédiate concernant un achat récent,Request for immediate assistance regarding a recent purchase,Problem
Assistance requise pour la configuration du tableau Scrum,Need assistance for configuration of the Scrum table,Request
Desconexões frequentes do Zoom 5.11.0 afetam a comunicação do webinar,Common Zoom 5.11.0 disorders affect webinar communication,Problem
[NO_SUBJECT],[NO_SUBJECT],Incident
Sofortige Unterstützung erforderlich: Probleme mit der Zoom-Verbindung,Emergency support required: Zoom connection problems,Problem
Wiederkehrendes Netzwerktrennungsproblem,Reversible Network Breakdown Problem,Incident
MacBook Air M1 enfrentando problemas de superaquecimento durante uso prolongado,MacBook Air M1 facing overheating problems during prolonged use,Problem
Fallos persistentes al usar Adobe Photoshop 2024,Constant errors when using Adobe Photoshop 2024,Incident
Urgente: Problemas de Conectividade com o Roteador Cisco ISR4331,Emergency: Problems of connectivity with the Cisco router ISR4331,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Verspätung bei der Lieferung des Lenovo IdeaPad 5,Late delivery of the Lenovo IdeaPad 5,Incident
Frequentes atolamentos de papel com a impressora,Common paper atlas with printer,Incident
Problema con la impresora Canon - Problema de conexión Wifi,Canon printer problem - Wifi connection problem,Problem
Demande d'échange de produit,Application for product exchange,Change
Häufige Abstürze bei Dell XPS 13 9310,Common shock at Dell XPS 13 9310,Problem
Anfrage zu Problemen mit dem Dell XPS 13 9310,Request for problems with Dell XPS 13 9310,Request
Assistência Necessária para Problema com Debugging de Extensões,Necessary Help for Problem With Extensions,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Asistencia inmediata requerida,Emergency assistance required,Request
Se requiere ayuda inmediata para un problema importante de Jira,Emergency assistance is required for an important problem of Jira,Incident
Assistência necessária com a configuração sem fio para a Canon PIXMA MG3620,Need assistance with wireless configuration for Canon PIXMA MG3620,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Dringende Unterstützung Erforderlich für die AWS-Problemlösung,Urgent support necessary for AWS problem resolution,Problem
Problème avec le clavier détachable du Surface Pro 7,Problem with the interface Pro 7 keyboard,Problem
Problemas de red con el enrutador Cisco,Network problems with Cisco router,Incident
Alta Prioridade: Queda do Sistema ao Acessar Painéis Scrum,High Priority: System Staying at Access Panels Scrum,Incident
Difficultés avec l'appareil photo du Samsung Galaxy S21 Ultra,Difficulty with Samsung Galaxy S21 Ultra photo device,Request
Häufige VPN-Probleme mit Lenovo XPS 13,Common VPN problems with Lenovo XPS 13,Request
Clarification urgente de facture nécessaire pour les services informatiques,Emergency clarification of invoices necessary for computer services,Request
Problème d'écran tactile après l'installation récente de la mise à jour de Windows,Tactile screen problem after the latest Windows update,Incident
Assistance requise pour le service de gestion AWS,Support required for the AWS management service,Incident
Demande de consultation informatique,Application for informational consultation,Change
[NO_SUBJECT],[NO_SUBJECT],Problem
Solicitud de proceso de intercambio de laptop Dell,Dell laptop switch process request,Problem
Asistencia Requerida: Problema con el Teclado del Surface Pro 7,Needed assistance: Problem with Surface Keyboard Pro 7,Request
Problema de Piscar da Tela com Dell XPS 13 9310,Screen Fishing Problem with Dell XPS 13 9310,Incident
Assistência Necessária para Upgrade do Teclado do Surface Pro 7,Necessary Assistance for Surface Keyboard Pro 7,Change
Urgent: Routeur Cisco ISR4331 hors service,Urgent: Routeur Cisco ISR4331 hors service,Incident
Demande urgente d'assistance,Emergency call for assistance,Request
Problème avec le MacBook Air M1,Problem with MacBook Air M1,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Problemas de sincronización,Synchronization problems,Problem
Incidente de Alta Prioridad: Falla del Router Cisco ISR4331,High Priority Incidence: Error of Route Cisco ISR4331,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Solicitud de integración de extensiones,Request for extension integration,Change
Urgente: Problemas de conectividad con el enrutador Cisco ISR4331,Emergency: Problems of connectivity with Cisco ISR4331,Incident
Inquérito sobre Discrepância de Faturamento na AWS,AWS Billing Discrepancy Survey,Incident
Notificaciones de tickets faltantes que afectan la retroalimentación de Jira,Missing ticket notifications that affect Jira's feedback,Problem
Discrepancias de Facturación con la Suscripción,Billing Disrepairs with Subscription,Problem
Urgente: Rectificación Requerida por Cargos de Facturación Incorrectos,Urgent: Correction Required by Wrong Billing Loads,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Problem mit AWS-Abrechnungsgebühren,Problem with AWS settlement fees,Problem
Upgrade-Anfrage für Office 365 Business,Upgrade request for Office 365 Business,Request
Important : Problème d'accès au journal,Important: The problem of access to the journal,Problem
Solicitud de Devolución: Problema de Color del Dell XPS 13,Return Request: Dell XPS 13 Color Problem,Problem
[NO_SUBJECT],[NO_SUBJECT],Change
Demande de compatibilité du MacBook,MacBook compatibility request,Request
Actualización urgente necesaria para la optimización de AWS,Emergency update required for optimization of AWS,Change
Solicitud para optimizar las configuraciones de AWS con el Servicio de Gestión,Request to optimise AWS settings with the Management Service,Change
Asistencia requerida para la integración de Google Workspace,Necessary help for the integration of Google Workspace,Request
Wiederholtes Bildschirmflimmern Problem gemeldet,Monitor Resolution Reported Problem,Incident
Anfrage zum Austausch des falschen Modells,Request for exchange of the wrong model,Incident
Assistência Urgente Necessária para o Roteador Cisco ISR4331,Emergency assistance Necessary for Cisco router ISR4331,Incident
Dringende Unterstützung beim Setup für AWS Kostenmanagement benötigt,Emergency support is needed when setting up AWS cost management,Request
Anfrage zur Aktualisierung der Druckereinstellungen,Request to update printer settings,Change
Hilfe benötigt für AWS-Kostenoptimierung,Help is needed for cost optimization of AWS,Problem
Asistencia requerida para la configuración inalámbrica,Need assistance for wireless settings,Request
Problemas de conectividad inalámbrica,Unfailing Connectivity Problems,Incident
Asistencia Requerida: Problema de Configuración de Wi-Fi para la Impresora Canon PIXMA MG3620,Help Required: Wi-Fi Settings Problem for Canon PIXMA MG3620 Printer,Request
Abrechnungsanfrage Unterstützung,Cancellation request Support,Incident
Unterstützung benötigt,Support is required,Request
Le client signale un problème : Écran clignotant sur la Samsung Galaxy Tab S7,The customer reports a problem: Samsung Galaxy Tab S7,Problem
Problème d'alimentation du MacBook Air M1,MacBook Air M1 Food Problem,Incident
Asistencia necesaria para configurar la impresora HP DeskJet 3755,Support needed to configure HP DeskJet 3755 printer,Request
Recibí un modelo erróneo de MacBook Air M1,I got a MacBook Air M1 wrong model,Request
Problemas de conectividad con el router Cisco ISR4331,Connectivity problems with the Cisco ISR4331 router,Incident
Demande de support technique urgent,Emergency technical support request,Request
Anfrage zur Rückzahlung wegen defektem Lenovo IdeaPad 5 Bestellung,Request for refund for defective Lenovo IdeaPad 5 Order,Problem
Anfrage zum Tintentank,Request for Tintentank,Request
Problema de red de la empresa,Network problem of the company,Incident
Dringende Untersuchung erforderlich: Netzwerkprobleme,Emergency investigation required: Network problems,Problem
Häufige Papierstaus: HP DeskJet 3755,Common paper show: HP DeskJet 3755,Problem
Überprüfung der Slack-Abrechnung erforderlich,It is necessary to verify the breakdown of the sludge.,Problem
IntelliJ IDEA 2024.1 se cierra después de la actualización,IntelliJ IDEA 2024.1 closes after update,Incident
Dringende Anfrage: AWS-Optimierung erforderlich,Urgent request: AWS optimization required,Change
Problema de Implantação na Nuvem AWS de Alta Prioridade,Implanting Problem in the New High Priority AWS,Problem
Unstimmigkeiten in der Azure-Abrechnung in diesem Monat,Inconsistencies in the acid count this month,Problem
Demande d'options supplémentaires de RAM pour Microsoft Surface Pro 7,Application for additional RAM options for Microsoft Surface Pro 7,Request
Problema com a Impressão da HP DeskJet 3755,Problem with HP DeskJet 3755,Incident
Rückgabeantrag für Canon-Druckerproblem,Return request for Canon printer problem,Incident
Preocupación por la Factura,Concerned by the Fact,Request
Problème de facturation : Surfacturation de l'abonnement mensuel,Billing problem: Overcrowding of monthly subscription,Incident
Solicitud de Asistencia para Intercambio de Producto,Request for Product Exchange Assistance,Problem
Esclarecimento sobre a Taxa de Assinatura,Explanation of the signing rate,Request
Asistencia Necesaria para Problemas de Conectividad MySQL,Necessary Assistance for MySQL Connectivity Problems,Problem
Hilfe benötigt für Surface Pro 7 Einrichtung,Help is needed for Surface Pro 7 Foundation,Request
Hochpriorisierte Austausch Anfrage,High priority exchange request,Request
Probleme beim Login des Beraters mit dem HR-System,Problems when logging in with the HR system,Incident
Unterstützung bei der Einrichtung des mobilen Drucks,Support for setting up the mobile printer,Request
Demande de retour du HP DeskJet 3755,Request for return from HP DeskJet 3755,Request
Kritisch: AWS Ausfall Anliegen,Critical: AWS Waste Plants,Incident
Asistencia Requerida para Soluciones de TI,Need for TI Solutions,Request
Hilfe benötigt für Adobe Photoshop,Help is needed for Adobe Photoshop,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Asistencia Necesaria para la Optimización de la Red,Necessary assistance for Network Optimization,Request
Drucker-Verbindungs- und Duplexprobleme,Printer connection and Duplex problem,Problem
Dringende Rückgabeanfrage: Defekter MacBook Air,Urgent return request: Defeater MacBook Air,Request
Problemas de Conectividade Durante Chamadas de Vídeo no Zoom,Connectivity Problems During Video Call in Zoom,Incident
Consulta sobre Mejora de Servidor,Server Improvement Query,Change
Häufige Abstürze im Google Chrome-Browser,Common shocks in Google Chrome-Browser,Problem
Assistance urgente requise pour MacBook Air M1,Emergency assistance required for MacBook Air M1,Incident
Hilfe für die Tastatur des MacBook Air M1 benötigt,Help is needed for the MacBook Air M1 keyboard,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Hilfe gesucht: Problem mit dem Flackern des Displays,Help sought: Problem with Flashing the Display,Problem
Solicitação de Atualização do Zoom,Zoom Update Request,Change
Problemas con MacBook Air M1 después de las actualizaciones recientes,Problems with MacBook Air M1 after recent updates,Incident
"Installation von Norton Antivirus Plus Problem, gemeldet von einem Kunden auf dem System","Installation by Norton Antivirus Plus Problem, reported by a customer on the system",Incident
Dringend: Google Workspace-Dienste ausgefallen,Urgent: Google Workspace Services Out,Incident
Asistencia necesaria para el problema de conectividad de MySQL,Necessary assistance to MySQL's connectivity problem,Problem
Probleme beim Booten des Dell XPS 13,Problems aboard the Dell XPS 13,Incident
[NO_SUBJECT],[NO_SUBJECT],Change
Asistencia requerida para problemas de conectividad del enrutador,Need assistance for driver's connectivity problems,Incident
Optimización urgente de AWS,AWS Emergency Optimisation,Request
Anfrage zur Abrechnungsdifferenz,Request for differentiation,Incident
Résolution urgente des problèmes d'impression sans fil,Emergency resolution of wireless printing problems,Request
Probleme mit Jira Scrum-Zuweisungen,Problems with Jira Scrum instructions,Problem
Anfrage nach Expertenrat zur Kostenoptimierung bei AWS-Diensten,Request for expert advice on cost optimization at AWS services,Request
Urgente: Se requiere resolución inmediata para el problema de AWS,Urgent: Immediate resolution is required for the problem of AWS,Problem
Problème Urgent : Déploiement dans le Cloud,Emergency Problem: Deployment in Cloud,Incident
Pedido de Troca: Dell XPS 13 9310,Change request: Dell XPS 13 9310,Request
Anmeldeproblem - Jira Software 8.20,Anmeldeproblem - Jira Software 8.20,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Sofortige Unterstützung bei Netzwerkstörungen benötigt,Emergency support for network interruptions is required,Incident
Problème avec l'écran tactile de la Surface Pro 7,Problem with the Tactical screen of surface Pro 7,Incident
Dringende Hilfe Erforderlich,Urgent Help Necessary,Request
Problèmes de connectivité sans fil,Wireless Connectivity Problems,Incident
Demande de mise à niveau d'IntelliJ IDEA pour des fonctionnalités améliorées,IntelliJ IDEA request for improved functionality,Change
[NO_SUBJECT],[NO_SUBJECT],Request
Dringende Lösung für AWS-Ausfallzeiten und Kostenprobleme benötigt,Emergency solution for AWS waste time and cost problems is needed,Problem
Solicitud de especificaciones e información comparativa,Application for specifications and comparative information,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Asistencia Inmediata Requerida por Disrupción del Servicio de AWS,Emergency assistance Needed by AWS Service Disengagement,Incident
Assistance requise pour un problème de connectivité WiFi,Need assistance for a WiFi connectivity problem,Incident
Clignotement de l'écran de la Smart TV,Smart TV screen clinching,Incident
Sofortige Lösung erforderlich: Zoom 5.11.0 Abstürze,Emergency solution required: Zoom 5.11.0 Dispersion,Incident
Solicitud de asistencia: Problema de parpadeo en la pantalla del portátil,Request for assistance: Parage problem on the laptop screen,Incident
Kritisches Serverausfallproblem,Critical server failure problem,Problem
[NO_SUBJECT],[NO_SUBJECT],Request
Consulta sobre la disponibilidad del Microsoft Surface Pro 7,Querying Microsoft Surface Pro 7 availability,Incident
Problème de scintillement d'écran sur MacBook Air M1,Magnification problem on MacBook Air M1,Problem
Problema del Cliente con el Acceso al Servidor,Client problem with access to the server,Incident
Hilfe benötigt bei der Jira-Einrichtung,Help is needed on the Jira device,Request
Urgente: Problema de parpadeo de pantalla con Dell XPS 13 9310,Emergency: Screen Sharing Problem with Dell XPS 13 9310,Request
Problemas de red con el router Cisco,Network problems with Cisco router,Incident
[NO_SUBJECT],[NO_SUBJECT],Change
Unterstützung für die Navigation auf Amazon erforderlich,Support for navigation on Amazon is necessary,Request
Problema com notificações do Jira,Problem with Jira notifications,Incident
Häufige Probleme mit der drahtlosen Verbindung beim HP DeskJet 3755,Common problems with wireless connection at HP DeskJet 3755,Problem
Anfrage zu Umtausch oder Rückerstattung eines fehlerhaften Ultrabooks,Request for replacement or replacement of a broken Ultrabook,Problem
Demande de changement de configuration du serveur,Server configuration change request,Change
Anfrage zur Optimierung von AWS-Instanzen,Request for optimization of AWS bodies,Change
Probleme mit der AWS-Konfiguration und -Leistung,Problems with AWS configuration and performance,Request
Necesito Soporte Urgente: Problema con Dell XPS 13,Need Emergency Support: Problem with Dell XPS 13,Problem
Urgente: Resolver el problema de sincronización de Microsoft Office 365,Urgent: Solve Microsoft Office 365 Synchronization Problem,Problem
Hilfe bei der Ersteinrichtung des MacBook Air M1 benötigt,Help is needed when setting up MacBook Air M1,Request
Precisamos de Assistência para Resposta Lenta a Consultas no MySQL 8.0.30,We need Assistance for Slow Response to Consults in MySQL 8.0.30,Problem
Problema con el acceso al tablero de Scrum,Problem with accessing Scrum table,Incident
Hilfe benötigt für die Spracheinstellungen des MacBook,Help is needed for the MacBook language settings,Change
Hilfe benötigt bei der Netzwerkoptimierung,Help is needed when optimizing the network,Request
Anmeldeprobleme in Jira Software,Anmeldeprobleme in Jira Software,Incident
Kritisches Service-Ausfall,Critical Service Output,Incident
Urgente: Problema con el sistema de tickets de TI,Emergency: Problem with the TI ticket system,Incident
Consulta sobre la disponibilidad y descuento del Dell XPS 13 9310,Review of the availability and discount of Dell XPS 13 9310,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Hilfe benötigt für Dell XPS 13 Bestellung,Help is needed for Dell XPS 13 order,Request
Problem mit Jira Software,Problem with Jira Software,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Assistance nécessaire pour le débogage de VS Code,Need assistance for the decoupling of VS Code,Incident
Problema de sobrecalentamiento de la laptop durante las videollamadas,Laptop overheating problem during video calls,Incident
Sofortige Hilfe benötigt: AWS-Serviceunterbrechung,Emergency assistance required: AWS service interruption,Problem
Problema de guardado de hojas de Excel en Office 365,Excel Page Storage Problem in Office 365,Incident
Urgente: Problema de Downtime da AWS,Urgent: AWS Downtime Problem,Incident
Anfrage nach sofortigem Austausch des defekten MacBook Air M1 Akkus,Request for immediate exchange of defective MacBook Air M1 Akkus,Request
Problema de Cobrança Duplicada na Compra,Double Buying Problem,Incident
Asistencia Inmediata Requerida: Interrupción del Servicio de Gestión de AWS y Optimización,Emergency assistance Required: AWS Management Service Interruption and Optimization,Incident
Urgente: Se necesitan parches de seguridad y validez de configuración del enrutador empresarial,Emergency: Safety and safety parks are needed to configure the business router,Incident
Asistencia Necesaria para Usar Canales de Slack,Help Needed to Use Slack Channels,Incident
Anfrage zur Optimierung und Fehlersuche von IT-Systemen,Request for Optimisation and Debug of IT Systems,Incident
Problème de notification Slack 4.23.0 sur Android,Slack 4.23.0 notification problem on Android,Problem
No se puede conectar WiFi en Dell XPS 13 9310,Cannot connect WiFi to Dell XPS 13 9310,Problem
Problem mit nicht reagierender Tastatur,Problem with non-responsive keyboard,Incident
Investigación Urgente Requerida: Problemas de Red,Emergency Investigation Required: Network Problems,Problem
Problema de parpadeo de pantalla en Dell XPS 13 9310,Screen Sharing Problem in Dell XPS 13 9310,Problem
Problème de scintillement de l'écran,Magnification of the screen,Problem
Anfrage zur Unterstützung bei einem Wi-Fi-Konnektivitätsproblem,Request for support for a Wi-Fi connection problem,Request
Dringend: Benutzer kann nicht an geplantem Zoom-Meeting teilnehmen,Urgent: User is not able to participate in planned Zoom-Meeting,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Interrupción Crítica del Servicio,Critical Service Interruption,Incident
Problema de alimentación Dell XPS 13,Dell XPS 13 Food Problem,Request
Dringende Anfrage zur AWS-Kostenoptimierung,Urgent request for cost optimization of AWS,Request
